ImageId,RepositoryPath,Width,Height,Bytes,Sha256,IsKnownSourceSheet,KnownCropCount,PriorityScore
"legacy-image-0121","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__80d72ea254b5531f.png",2000,2000,926726,"a5870a68aed14690baccf7343a90dd377c074974b00177b60f81f164ecac6a96",True,1,1070
"legacy-image-0124","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__816196eb61b9f0d0.png",2000,2000,1276261,"b7d4449b661a705f6d06dd03ee830607fc299d02ba96dc169b028454fab056a0",True,1,1070
"legacy-image-0126","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__825891661acc77de.png",1536,1536,750597,"cc38efff529d1c2682f4fa1aaf62291547ba6fe9855835c25605f01a7f74a6e2",True,1,1070
"legacy-image-0127","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__82ba063d7c019215.jpg",2048,2048,603141,"65e80de1f1afa074da5520e8c3f9e552b89ff92a7f24cb34f8210545aebcc7fd",True,1,1070
"legacy-image-0129","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__83a1eb5a43caf6e4.jpg",3000,3000,910652,"bc132e290cc3067be27ab165df78833863690be83942c11758278bee5f993e02",True,1,1070
"legacy-image-0130","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8552ac06500a17cf.jpg",3000,3000,911115,"4f7d0a8c532a7b650337424fc62c3f3a9b1f5402b6dafc163110f679b02b86d4",True,1,1070
"legacy-image-0132","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__87382251cddea164.jpg",1024,1024,139002,"b9ed865cd4e3b31cc04eee8045485f801d09e7dc83a8a71ab67979e1de35665d",True,1,1070
"legacy-image-0134","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8865722a5fd3eea8.jpg",1802,1802,387298,"ac767f2762a1ca2692d29cfb12a127ad500e4910a9e85f9cf0536e9fa12abe62",True,1,1070
"legacy-image-0137","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__895a9c2c30243998.jpg",1024,1024,185173,"82c6cde4e643310914dfceb1598c6a059f65c04704a483b50e7ca00e893bb0d4",True,1,1070
"legacy-image-0138","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8a8d56e8970d3f13.jpg",1541,1541,243115,"fc1e613f161999e999281bded34b87eaff90daddab2cd1004837655e23a88789",True,1,1070
